Title,Year,Score,Description,Director,Screenplay,Type,Revenue
28 Weeks Later,2007,66,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",Juan Carlos Fresnadillo,"Juan Carlos Fresnadillo, Rowan Joffé, Enrique López Lavigne, Jesús Olmo","Horror, Thriller, Science Fiction","65,048,725.00"
The Shrouds,2025,59,"Inconsolable since the death of his wife, Karsh, a prominent businessman, invents a revolutionary and controversial technology that enables the living to monitor their dear departed in their shrouds. One night, multiple graves, including that of Karsh’s wife, are desecrated, and he sets out to track down the perpetrators.",David Cronenberg,,"Science Fiction, Drama, Horror, Thriller","1,291,679.00"
Woodwalkers,2024,63,"Humans who can shapeshift into animals struggle to integrate with others without giving away their special abilities. As a group, they strive to inform and institute change in the world perspective of deforestation and the importance of natural habitats. However, when that can’t happen, they are forced to take matters into their own hands.",Damián John Harper,,"Family, Fantasy",
Santosh,2024,71,"A government scheme sees newly widowed Santosh inherit her husband’s job as a police constable in the rural badlands of Northern India. When a low-caste girl is found raped and murdered, she is pulled into the investigation under the wing of charismatic feminist inspector Sharma.",Sandhya Suri,Sandhya Suri,"Crime, Drama, Thriller","1,097,812.00"
Continent,2024,60,"After 15 years of living abroad, Amanda returns home with her French boyfriend, Martin. They arrive at her family's large-scale farm, located in a secluded village on the endless plains of southern Brazil. There, Amanda finds her father in a coma in the midst of increasing tension among the workers. The sole doctor in the nearby village is Helô, a young woman who resigns herself to caring for the local townspeople. The imminent death of the farm owner will put Amanda, Martin, and Helô at the heart of a disturbing settlement between the village and the farm owners.",Davi Pretto,,"Horror, Drama",
Coraline,2009,79,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",Henry Selick,Henry Selick,"Animation, Family, Fantasy","185,860,104.00"
Brave Citizen,2023,70,"An expelled boxing champion, who now is a high-school teacher, witnesses intolerable violence and throws her first punch to build justice against it, while putting on a mask.",Park Jin-pyo,,"Action, Drama, Comedy","2,116,112.00"
Making Squid Game: The Challenge,2023,78,"Go behind the scenes and witness how the ""Squid Game""-inspired reality show transformed from a scripted drama to a cutthroat, nail-biting competition.",,,Documentary,
Harry Potter and the Chamber of Secrets,2002,77,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",Chris Columbus,Steve Kloves,"Adventure, Fantasy","876,688,482.00"
13 Ghost Story Confrontation 1: Cherishing,2009,93,"First installment of a trilogy of ""Ghost Stories"", featuring strenuous physical torment of a young woman.",,,Horror,
Dune,2021,78,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",Denis Villeneuve,"Denis Villeneuve, Jon Spaihts, Eric Roth","Science Fiction, Adventure","407,573,628.00"
Forrest Gump,1994,85,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Robert Zemeckis,Eric Roth,"Comedy, Drama, Romance","677,387,716.00"
Shrek,2001,78,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.","Andrew Adamson, Vicky Jenson",,"Animation, Comedy, Fantasy, Adventure, Family","488,628,188.00"
Superman,1978,71,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",Richard Donner,"Mario Puzo, David Newman, Leslie Newman, Robert Benton","Science Fiction, Action, Adventure","300,478,449.00"
Shark Whisperer,2025,70,Marine conservationist and social media activist Ocean Ramsey fearlessly swims with sharks in this documentary about her risky mission to protect them.,"Harrison Macks, JP Stiles, James Reed",,Documentary,
