Title,Year,Score,Description,Director,Screenplay,Type,Revenue
The Count of Monte-Cristo,2024,84,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.","Alexandre de La Patellière, Matthieu Delaporte","Alexandre de La Patellière, Matthieu Delaporte","Adventure, History, Action, Drama, Romance, Thriller","73,924,182.00"
Bagman,2024,66,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",Colm McCarthy,,"Horror, Thriller",
Coco,2017,82,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",Lee Unkrich,"Adrian Molina, Matthew Aldrich","Family, Animation, Music, Adventure","807,816,196.00"
Smile 2,2024,69,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",Parker Finn,,"Horror, Mystery","83,478,285.00"
Kelas Bintang - Hot Moms,2023,60,We don't have an overview translated in English. Help us expand our database by adding one.,,,"Drama, Romance",
Bad Boys: Ride or Die,2024,75,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.","Adil El Arbi, Bilall Fallah",,"Action, Comedy","402,529,640.00"
The Crow,2024,58,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",Rupert Sanders,"Zach Baylin, William Josef Schneider","Action, Fantasy, Horror","13,690,814.00"
The Silent Hour,2024,63,"While working a case as an interpreter, a hearing-impaired police detective must confront a group of criminals trying to eliminate a deaf murder witness in her apartment building.",Brad Anderson,,"Crime, Thriller, Action",
Transmorphers: Mech Beasts,2023,52,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",Michael Su,,"Action, Science Fiction","65,452.00"
Operation Black Ops,2023,58,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.",Jamaal Burden,,"Action, Thriller",
Canary Black,2024,65,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want.",Pierre Morel,,"Action, Thriller, Crime",
Pleasure,2021,62,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",Ninja Thyberg,Ninja Thyberg,Drama,"393,824.00"
SpongeBob Squarepants: Kreepaway Kamp,2024,70,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!","Kurt Snyder, Dave Cunningham, Sherm Cohen, Fred Osmond, Ian Vasquez",,"TV Movie, Family, Comedy, Horror, Animation",
